user_name,game_id,mensagem,sentiment,confidence,score
agurin,21779,rmm,neutral,0.6427639722824097,0.0
agurin,21779,mre mrrm erm,neutral,0.8492060899734497,0.0
agurin,21779,erm aksherm cuteerm darkermvest didsomeonesayerm elermtrocute erm erm ermactually ermadin ermdeluxe ermdonalds ermdra ermexplode ermgamba ermgi ermgnite ermgun erminem ermjais ermki ermking ermport ermshield ermsuo german glerm glerm hermris permnis repterm rerm term terminus veryerm waytooerm zermnyas ermbed ermshakey gwerm heserm terminator veljerm caterm chatterm firsttimeermer progoterm toplanerm wideerm,neutral,0.8112340569496155,0.0
agurin,21779,mmr rmm,neutral,0.8215541243553162,0.0
agurin,21779,that bard ult was good,positive,0.9326452612876892,0.9326452612876892
agurin,21779,everytime im olaf bard ult is so gr,neutral,0.7183898091316223,0.0
agurin,21779,cooked,neutral,0.5377634167671204,0.0
agurin,21779,speed,neutral,0.5353395938873291,0.0
agurin,21779,thosewhoslow,neutral,0.6295338273048401,0.0
agurin,21779,mad,neutral,0.48473042249679565,0.0
agurin,21779,disaster,negative,0.4731237590312958,-0.4731237590312958
agurin,21779,ff,neutral,0.5088401436805725,0.0
agurin,21779,report,neutral,0.5834268927574158,0.0
agurin,21779,todays score wl,neutral,0.9218267798423767,0.0
agurin,21779,que grotesco y nauseabundo es el acento polaco,neutral,0.8362999558448792,0.0
agurin,21779,its fine guys lets flip v at minute,positive,0.6263565421104431,0.6263565421104431
agurin,21779,armor br o,neutral,0.7892148494720459,0.0
agurin,21779,or,neutral,0.5657791495323181,0.0
agurin,21779,que se estan jugando,neutral,0.7362112998962402,0.0
agurin,21779,what does sendo do that other toplaners dont,neutral,0.7569296956062317,0.0
agurin,21779,lee el titiulo,neutral,0.881818413734436,0.0
agurin,21779,report olaf,negative,0.4914339780807495,-0.4914339780807495
agurin,21779,when he goes to the grocery to buy milk he returns,neutral,0.8669351935386658,0.0
agurin,21779,revitalize shield immortal path shield shieldbow akshan passive shen ult yourself wtf,neutral,0.8570089936256409,0.0
agurin,21779,sendo tetin dejate la liguilla esa de paquetes y hazme un coachin en plata,neutral,0.8764780163764954,0.0
agurin,21779,is it game or whats the score,neutral,0.9042609333992004,0.0
agurin,21779,wtf is happening,neutral,0.6126535534858704,0.0
agurin,21779,playoffs de que,neutral,0.8319700360298157,0.0
agurin,21779,haha report olaf,neutral,0.6324273347854614,0.0
agurin,21779,acabo de entrar,neutral,0.7742798924446106,0.0
agurin,21779,bro spectating,neutral,0.8373889327049255,0.0
agurin,21779,monka,neutral,0.6494725346565247,0.0
agurin,21779,lol gl,positive,0.5235154628753662,0.5235154628753662
agurin,21779,isnt sendo an adc main chat or am i mistaken,neutral,0.8604146242141724,0.0
agurin,21779,panth strong and olaf boosted,positive,0.811050295829773,0.811050295829773
agurin,21779,no,neutral,0.4534933269023895,0.0
agurin,21779,was it worth to send it on bard,neutral,0.8856079578399658,0.0
agurin,21779,okok mb,neutral,0.7730347514152527,0.0
agurin,21779,you thinking of slendo,neutral,0.8902155756950378,0.0
agurin,21779,oh yeah,positive,0.6709921956062317,0.6709921956062317
agurin,21779,gogogo,neutral,0.5994143486022949,0.0
agurin,21779,ff,neutral,0.5088401436805725,0.0
agurin,21779,catdespair,negative,0.6839396953582764,-0.6839396953582764
agurin,21779,cortisol,neutral,0.7270287871360779,0.0
agurin,21779,haha,positive,0.5592273473739624,0.5592273473739624
agurin,21779,happy,positive,0.824882984161377,0.824882984161377
agurin,21779,ff,neutral,0.5088401436805725,0.0
agurin,21779,check out my profile using deeplol,neutral,0.8063955307006836,0.0
agurin,21779,cortisol,neutral,0.7270287871360779,0.0
agurin,21779,noob,neutral,0.5925337076187134,0.0
agurin,21779,make sure to subscriberino to my english youtube channel,neutral,0.5362018942832947,0.0
agurin,21779,suscrbete y apyame de forma completamente gratuita a este canal usando tu twitch prime sendoshy si no sabes como hacerlo pon en el chat,neutral,0.8512870073318481,0.0
agurin,21779,its joever,neutral,0.834867537021637,0.0
agurin,21779,rolled,neutral,0.668319046497345,0.0
agurin,21779,fight agaiin,neutral,0.8361281752586365,0.0
